Music is ON	音樂 開啟
PRESIDENT EATS BROCCOLI\nAND LIVES!	總統吃花椰菜\n而且活著！
STUDY SHOWS WE HAVE\nMORE LEISURE TIME	研究顯示我們擁有\n更多休閒時間
SOL.\nWE NEED A HEADLINE HERE!	天哪。\n我們需要頭條新聞！
TORNADO KILLS 8 THEN\nCOMMITS SUICIDE!	龍捲風殺害8人\n然後自殺！
CIGARETTES FOUND TO CAUSE\nLABORATORY ANIMALS!	香菸被發現導致\n實驗動物！
COURTS JAMMED!\nWAPNER REINSTATED!	法院爆滿！\nWapner 恢復主持！
GRAND CANYON DESIGNATED\nNATIONAL LANDFILL!	大峽谷被指定為\n國家垃圾掩埋場！
CELEBRITY BULLFIGHTING\nDISASTER; LESLEY GORED	名人鬥牛\n事故；萊斯利遭刺傷
GURUKA SINGH GETS HAIRCUT!\nPHOTOS UNDER WRAPS!	古魯卡．辛格剪髮！\n照片保密！
RAP GROUP ARRESTED FOR\nNOT STARTING RIOT!	嘻哈樂團因未\n引發暴動遭捕！
TRAILER PARK DEMOLISHES\n6 TORNADOES!	房車停車場摧毀\n6 場龍捲風！
Works at %-16s	工作於 %-16s
As a %-20s	身分為 %-20s
Hourly wage: $%-11d	時薪：$%-11d
Unemployed	失業中
Cash: $%-18s	現金：$%-18s
Savings: $%-15s	存款：$%-15s
Rent Owed: $%-13d	欠房租：$%-13d
Loan Balance: $%-10d	貸款餘額：$%-10d
Total Goods: $%-11d	總財產值：$%-11d
Investment Total: $%-6s	投資總額：$%-6s
Net Worth: $%-13s	淨資產：$%-13s
-----GOODS-----	-----商品-----
Casual Clothes  	便服
Dress Clothes   	禮服
Business Suit   	商務套裝
%3d Weeks of Food        	%3d 週的食物
---EDUCATION---	---教育---
--INVESTMENTS--	--投資--
Filler	填充
You spent the whole weekend watching some of the food in your refrigerator grow mold and spores. It sure was fun.	你整個週末都在看冰箱裡的食物長黴菌和孢子。真的很有趣。
You spent the whole weekend watching the water in your refrigerator freeze.	你整個週末都在看冰箱裡的水結冰。
You spent the weekend baking oatmeal cookies.	你週末烤燕麥餅乾。
You spent the entire weekend watching Star Trek reruns.	你整個週末都在看星艦奇航記重播。
You rented some movies and ate artificially flavored buttered popcorn.	你租了些電影並吃了人工香味奶油爆米花。
You spent the weekend playing your stereo and patching the plaster your speakers cracked.	你週末放立體聲音樂並修補揚聲器裂開的牆面。
You spent the weekend cleaning your microwave after you tried to dry your pet rat in it. You also need a new pet rat.	你週末清潔微波爐，因為你試著在裡面烘乾寵物鼠。你還需要一隻新寵物鼠。
You and some friends had a Hottub party this weekend.	你和一些朋友週末舉辦了熱水浴池派對。
You played games on your computer all weekend.	你整個週末都在玩電腦遊戲。
You watched CELEBRITY INCOME TAX EVASION on TV this weekend.	你週末看電視上的「名人逃稅」節目。
You read all about the mating habits of the North American computer programmer in your encyclopedia.	你在百科全書中讀了北美電腦程式設計師的交配習性。
You read your dictionary all weekend. Boy, that was fun.	你整個週末都在讀字典。天哪，真有趣。
You read your atlas and commited the population of 43 countries to memory. OH WOW!!!	你讀地圖集並記住了43個國家的人口。喔哇！！！
You went to the baseball game this weekend and ate hotdogs till you puked.	你週末去看棒球比賽並吃熱狗直到吐。
You went to the theatre this weekend and saw the one MAN version of Cats.	你週末去劇院看了「貓」的獨角戲版本。
You had front row seats at a rock concert. The doctor said that the hearing loss shouldn't be permanent.	你在搖滾演唱會有前排座位。醫生說聽力損失應該不會永久。
You watched them change the mannequins at QT Clothing this weekend.	你週末看了Q.T服飾店換衣服模特的過程。
You washed and waxed your marble this weekend right before it rained.	你週末洗臘大理石，結果馬上下雨。
You stayed home and did absolutely nothing this weekend.	你週末待在家裡什麼都沒做。
You spent the weekend hiking around Yosemite.	你週末在優勝美地登山。
You listened to the Talking Bear 256 times this weekend.	你週末聽了會說話的熊256次。
You read the 'Wall Street Journal' this weekend.	你週末讀了《華爾街日報》。
You thought about what you would do on your next turn.	你想著下次輪到你時要做什麼。
You spent the weekend in a hotel because they had to fumigate your apartment.	你週末在飯店住，因為他們必須對你的公寓進行薫蒸。
You played in a ping pong tournament this weekend.	你週末參加了乒乓球錦標賽。
You pitched horseshoes in your apartment all weekend. The people downstairs love you.	你整個週末都在公寓裡扔馬蹄鐵。樓下的人很愛你。
You sat around and played solitaire all weekend.	你整個週末都坐著玩紙牌遊戲。
You went panning for gold this weekend, but all you got was wet.	你週末去淘金，但只淘到了水。
You spent the weekend in the laundromat washing your clothes. Now that was exciting.	你週末在洗衣店洗衣服。那真刺激。
You took a friend out to a cheap restaurant this weekend.	你週末帶朋友去便宜餐廳。
You went out and caught your own froglegs this weekend.	你週末出去自己抓青蛙腿。
You crawled around on your knees chasing snails this weekend.	你週末跪著爬行追逐蝸牛。
You spent your weekend thinking about work. Eccch.	你週末想著工作。呃。
You spent your weekend trying to remove the mildew between the shower tiles.	你週末試著清除淋浴瓷磚間的黴菌。
You spent the weekend listening to the newlyweds in the next apartment set up a new waterbed.	你週末聽著隔壁公寓的新婚夫婦設置新水床。
This weekend, you won first prize in a beauty contest and collected $10. Whoops, wrong game.	這個週末，你在選美比賽贏得首獎並獲得$10。糟糕，遊戲錯了。
This weekend, you closed your curtains, locked your doors, turned off the lights, and ate presweetened morning breakfast cereal, with little marshmallows!	這個週末，你關上窗簾、鎖上門、關上燈、吃加糖早餐穀物加小棉花糖！
You played stickball this weekend with the neighborhood kids and ended up wrenching your back and spraining your ankle.	你這個週末和鄰居小孩玩棒壘球，結果扭傷了背部和腳踝。
You read a romance novel, NURSE'S TURN TO CRY, in one sitting.	你一口氣讀完了言情小說《護士的哭泣時刻》。
You took a long hot bath this weekend and emerged looking like a California Raisin.	你這個週末洗了很久的熱水澡，結果看起來像加州葡萄乾。
You watched a torrid romance movie, LIBRARIAN'S DILEMMA, this weekend.	你這個週末看了熾熱的言情電影《圖書館員的困境》。
One of your fillings came loose this weekend. It's a good thing you're handy with a soldering iron.	你這個週末的補牙脫落了。幸好你對焊槍得心應手。
You spent the weekend examining yourself under the fluorescent lights in the bathroom. Eccch!	你花了整個週末在浴室的日光燈下檢查自己。噁！
You spent the weekend wondering if black holes were lit with black lights.	你花了整個週末想知道黑洞是否用黑光照亮。
This weekend, you hung out at the mall, filled up on junk food, and made your mother ashamed of you.	這個週末，你在購物中心閒晃、吃滿了垃圾食品，讓你媽為你感到羞恥。
You went bowling with friends this weekend.	你這個週末和朋友去打保齡球。
You played two rounds of golf this weekend.	你這個週末打了兩輪高爾夫。
This weekend, you had to bail your nephew out of jail.	這個週末，你得把侄子從牢裡保釋出來。
You had your marble repainted this weekend.	你這個週末把你的彈珠重新粉刷了。
You played in a volleyball tournament this weekend.	你這個週末參加了排球錦標賽。
You took a friend out to an expensive restaurant this weekend.	你這個週末帶朋友去了高級餐廳用餐。
You went to San Diego to play in the Over The Line Tournament.	你去聖地牙哥參加了越線錦標賽。
You went to Las Vegas in a $20,000 car and came back in a $200,000 Greyhound bus.	你開著兩萬美元的車去拉斯維加斯，卻坐著二十萬美元的灰狗巴士回來。
You tried to drive to Hawaii to watch a surfing contest.	你試著開車去夏威夷觀看衝浪比賽。
You went scuba diving in La Jolla.	你在拉霍亞去潛水。
You went deep sea fishing this weekend.	你這個週末去深海釣魚。
You volunteered to take the local scouts to Disneyland.	你自願帶當地的童子軍去迪士尼樂園。
You drove the senior citizens' bus this weekend and they drove you - crazy.	你這個週末開著銀髮族的巴士，他們讓你發瘋。
You helped several little old ladies cross the street to get to their aerobics class.	你幫幾位老太太過馬路去上有氧課程。
You visited a sick friend in the hospital. REALLY!	你去醫院探望了生病的朋友。真的！
You spent $%d.	你花費了 $%d。
  WINNER	  冠軍
2ND PLACE	亞軍
3RD PLACE	季軍
4TH PLACE	第四名
How Many Players?	有多少位玩家？
Food	食物
Astro Chicken	太空雞
Hamburgers	漢堡
Cheeseburgers	起司堡
Shakes	奶昔
Fries	薯條
Colas	可樂
Newspaper	報紙
Lottery Tickets	彩券
Trade School	技職學校
Electronics	電子學
Pre Engineering	工程預科
Engineering	工程學
Junior College	專科
Business Admin.	企管
Academic	學術
Graduate School	研究所
Post Doctoral	博士後
Research	研究
Publishing	出版
Refrigerator	冰箱
Freezer	冷凍庫
Stove	爐具
Color TV	彩色電視
Vcr	錄放影機
Stereo	音響
Microwave	微波爐
Hot Tub	按摩浴缸
Computer	電腦
Black & White TV	黑白電視
Encyclopedia	百科全書
Dictionary	字典
Atlas	地圖集
Business Suit	西裝
Leisure Suit	休閒服
Casual Clothes	便服
Baseball Tickets	棒球票
Theatre Tickets	戲票
Concert Tickets	演唱會票
Rent Low Cost	租平價屋
Rent Security	租保全屋
Clerk	店員
Janitor	工友
Cook	廚師
Assist. Manager	副理
Manager	經理
Salesperson	業務員
Teacher	教師
Professor	教授
Assembly Worker	裝配工
Secretary	秘書
Machinist Helper	技工助手
Exec. Secretary	執行秘書
Machinist	技工
Engineer	工程師
Department Mgr.	部門經理
General Mgr.	總經理
Teller	行員
Broker	經紀人
Checker	收銀員
Butcher	肉販
Groundskeeper	園丁
Apartment Mgr	公寓經理
Repairman	維修員
T-BillS	國庫券
Gold	黃金
Silver	白銀
Pork Bellies	豬腩期貨
Blue Chip Stocks	績優股
Penny Stocks	低價股
Low Cost Apartment	平價公寓
Rent Office	租屋中心
Security Apartment	保全公寓
Black's Market	布萊克超市
Bank	銀行
Factory	工廠
Employment Office	職業介紹所
University	大學
Socket City	插座城
QT Clothing	Q.T服飾
Monolith	大石頭漢堡
Z-Mart	Z超商
Pawn Shoppe	當舖
The software you are now using was produced\nthrough the efforts of many people:\ndesigners, artists, programmers, musicians,\nand many other hard-working professionals.\n\nIf you make copies of this software for any\nreason other than to make a personal backup,\nyou are not only breaking the law, but raising\nthe cost of software for all legitimate users.\n\nPLEASE\nDO NOT MAKE ILLEGAL COPIES OF THIS GAME !	您現在使用的軟體是由許多\n人共同努力製作的：\n設計師、美術、程式設計師、\n音樂家及許多其他勤奮的\n專業人士。\n\n若您複製此軟體的目的\n不是製作個人備份，\n您不僅違反法律，\n也提高了所有合法使用者的\n軟體成本。\n\n請勿製作\n本遊戲的非法複製！
The disk is full. You must use another disk. Save Aborted.	磁碟已滿。請使用其他磁碟。\n儲存已中止。
The game has been saved.	遊戲已儲存。
The saved game was saved under a different interpreter. It cannot be restored.	此存檔是在不同版本下儲存，\n無法還原。
Can't Restore. No previously saved game was found.	無法還原。找不到之前的\n存檔。
New save-game directory:	新的存檔目錄：
%s\nis not a valid directory	%s\n不是有效的目錄
Please insert your %s disk in drive %s.	請將您的 %s 磁片插入\n磁碟機 %s。
File: %s	檔案：%s
JONES IN THE FAST LANE\nAdditional Programmers:\nSol Ackerman,\nDavid Slayback\n\nAdditional Artists:\nMike Milo,\nDave Willardson,\nCalvin Patton,\n\nVersion %s	人生劇場\n額外程式設計師：\nSol Ackerman,\nDavid Slayback\n\n額外美術設計：\nMike Milo,\nDave Willardson,\nCalvin Patton,\n\n版本 %s
JONES IN THE FAST LANE\nDevelopment System:\nJeff Stephenson, Robert Heitman,\nPablo Ghenis, John Hartin,\nDan Foy, Larry Scott,\nMark Hood, John Rettig\nCorey Cole, Eric Hart.\n\nSound Effects: Ken Allen\n\nDialogue: Josh Mandel\nSol Ackerman, Warren Schwader	人生劇場\n開發團隊：\nJeff Stephenson, Robert Heitman,\nPablo Ghenis, John Hartin,\nDan Foy, Larry Scott,\nMark Hood, John Rettig\nCorey Cole, Eric Hart.\n\n音效設計：Ken Allen\n\n對白：Josh Mandel\nSol Ackerman, Warren Schwader
      JONES IN THE FAST LANE\nF1 - Help - This screen\nF2 - Music on/off \nF3 - Sound Effects on/off \nF4 - Current Player's Statistics \nF5 - Saves the current game\nF6 - View Goals Screens\nF7 - Restores the saved game\nF8 - Non-essential messages on/off\nF9 - Restarts the game\nF10- About Jones	      人生劇場\nF1 - 說明 - 本畫面\nF2 - 音樂 開/關 \nF3 - 音效 開/關 \nF4 - 目前玩家的統計 \nF5 - 儲存目前遊戲\nF6 - 檢視目標畫面\nF7 - 還原已儲存的遊戲\nF8 - 非必要訊息 開/關\nF9 - 重新開始遊戲\nF10- 關於瓊斯
     JONES IN THE FAST LANE\nCtrl-Q - Quit\nCtrl-R - Change Reading Speed\nCtrl-S - Change Speed\nCtrl-T - Set Graphics Detail Level\nCtrl-V - Change Volume\nCtrl-Y - Set Save Directory\nCtrl-Z - Delete a Player\nEsc   - Menu Bar/Pauses Game\nLeft Mouse - Select\nMiddle Mouse/CTRL-Left - Goals\nRight Mouse/SHIFT-Left - Statistics	     人生劇場\nCtrl-Q - 離開\nCtrl-R - 變更閱讀速度\nCtrl-S - 變更遊戲速度\nCtrl-T - 設定圖形細節\nCtrl-V - 變更音量\nCtrl-Y - 設定存檔目錄\nCtrl-Z - 刪除玩家\nEsc   - 功能表列/暫停遊戲\n滑鼠左鍵 - 選擇\n滑鼠中鍵/Ctrl-左鍵 - 目標\n滑鼠右鍵/Shift-左鍵 - 統計
Restarting?	重新開始？
Quitting?	離開？
Saving a game will overwrite a previously saved game.\nContinue?	儲存遊戲將覆蓋之前的\n存檔。繼續？
Restore a saved game?	要還原存檔嗎？
Non-essential\nmessages ON.	非必要\n訊息 開啟。
Non-essential\nmessages OFF.	非必要\n訊息 關閉。
Delete this player?	刪除此玩家？
Another Statistics Screen is not allowed.	不允許再開啟統計畫面。
Another Goals Screen is not allowed.	不允許再開啟目標畫面。
%s\n[Collection of size %d]	%s\n[集合大小 %d]
%s\n[List of size %d]	%s\n[清單大小 %d]
%s\n[Set of size %d]	%s\n[集合大小 %d]
Turn Music Off	關閉音樂
Turn Music On	開啟音樂
Turn Sound Effects Off	關閉音效
Turn Sound Effects On	開啟音效
Place	地點
Player	玩家
Restart	重新開始
Quit	離開
Player 1	玩家一
Player 2	玩家二
Player 3	玩家三
Player 4	玩家四
Talker	說話者
Goods	商品
Consumable	消耗品
Durable	耐用品
Educational	教育用品
Consumables	消耗品
Durables	耐用品
Education	教育
Continue	繼續
Pay rent for 1 month.  	繳納一個月房租。
Ask For More Time.       	要求延期。
Rent Low-Cost Apartment  	租住低價公寓
Rent Security Apartment  	租住保安公寓
Pay Garnishment Balance  	償還扣押餘額
Food For 1 Week....	食物 一週份
Food For 2 Weeks..|	食物 兩週份
Food For 4 Weeks..	食物 四週份
10 Lottery Tickets|...|	10 張樂透彩票
Newspaper................|	報紙
Deposit  	存款
Withdraw  	提款
Loan Payment	償還貸款
Apply For Loan	申請貸款
See The Broker	找證券營業員
Z-Mart Discount	Z-超商優惠
Monolith Burgers	大石頭漢堡
Socket City Appliance	多插座城市電器
Hi-Tech University	高等技術大學
Enrollment Fee 	報名費
Refrigerator|.......	冰箱
Freezer|..............|	冷凍庫
Stove.................|	爐灶
Color TV.............	彩色電視
Stereo................|	立體音響
Microwave..........|	微波爐
Hot Tub..............	浴缸
Computer............	電腦
Business Suit  |	商務西裝
Dress Clothes  |	禮服
Hamburgers.........	漢堡
Cheeseburger.......|	起司漢堡
Astro Chicken.......|	太空雞
Fries....................	薯條
Shakes.................|	奶昔
Colas...................|	可樂
Refrigerator.....	冰箱.....
Stove|..............||	爐子|..............||
Stereo|.............||	立體音響|.............||
Color TV..........||	彩色電視..........||
Black & White TV||	黑白電視||
Microwave|.........|	微波爐|.........|
Casual Clothes...	便服...
Dress Clothes.....	正式服裝.....
Baseball Tickets..	棒球票..
Theatre Tickets...	劇院票...
Concert Tickets|..|	演唱會票|..|
Encyclopedia.....	百科全書.....
Dictionary..........	字典..........
Atlas.................|	地圖冊.................|
Dog Food...........|	狗糧...........|
8-Track Player...	八軌播放機...
Works of Capote|	卡波特作品|
Pawnable Items	可典當物品
Take It	拿走
Leave It	留下
Buyable Items	可購買物品
Redeemable Items	可兌換物品
Discount Store Jobs Available:	折扣超市工作機會：
Clerk              |||	店員              |||
Assistant Manager  	副經理
Manager           |	經理           |
Monolith's Jobs Available:	大石頭漢堡店工作機會：
Cook               ||	廚師               ||
Clerk               |	店員               |
Assistant Manager  |||	副經理  |||
Manager           ||||	經理           ||||
QT Clothing Jobs Available:	Q.T 服飾店工作機會：
Salesperson        ||	店員        ||
Socket City Jobs Available:	多插座城市電器行工作機會：
Salesperson         ||	店員         ||
Electronic's Repair   	電子產品維修
Manager            |	經理            |
University Jobs Available:	高等技術大學工作機會：
Janitor            |	工友            |
Factory Jobs Available:	工廠工作機會：
Janitor            |||	工友            |||
Assembly Worker    ||||	組裝工人    ||||
Secretary          ||	秘書          ||
Machinist's Helper   |	機械師助手   |
Executive Secretary ||	行政秘書 ||
Department Manager 	部門經理
General Manager    ||	總經理    ||
Bank Jobs Available:	銀行工作機會：
Teller              ||	出納員              ||
Investment Broker  |||	投資營業員  |||
Black's Market Jobs Available:	布萊克超市工作機會：
Checker            |	收銀員            |
Butcher           ||||	肉舖           ||||
Rent Office Jobs Available:	租屋中心工作機會：
Groundskeeper      ||||	保全員      ||||
Apartment Manager  	公寓經理
Happiness is accumulated by acquiring goods, achieving goals, taking time off from work, and helping little old ladies cross the street so that they don't get hit by any speeding marbles.	快樂透過購置商品、達成目標、遠離工作，以及幫助老婦人過馬路以免被飛過的彈珠擊中而累積。
Education is accumulated by attending the university and graduating from the classes offered. A computer and some reference books can be very beneficial to your studies.	學歷透過入學高等技術大學、修習課程而累積。電腦和參考書對學業幫助甚大。
Career is achieved by working hard, climbing the corporate ladder, improving your skills, dependability, and advancing your education. Remember, hire a kid, they have all the answers.	職業成就來自努力工作、晉升企業階梯、提升技能與可靠性，以及精進學歷。記住，聘僱小孩吧，他們什麼都懂。
Dialog	對話
Controls	控制
Normal	正常
Cancel	取消
Gauge	量表
Sound	音效
Change Directory	更改目錄
Cycle	循環
Motion	動作
gamefile.sh	gamefile.sh
controls	控制
Enter input	輸入
Turn Messages On	開啟訊息
 Options 	 選項
 Status 	 狀態
Change reading speed.	更改閱讀速度。
Reading Speed	閱讀速度
More Time	更多時間
Less Time	更少時間
Change animation speed.	更改動畫速度。
Game Speed	遊戲速度
Faster	更快
Slower	更慢
Change sound volume.	更改音量。
Sound Volume	音量
Louder	更大聲
Softer	更小聲
Change graphics detail level.	更改圖形細節等級。
Graphic Detail	圖形細節
More Detail	更多細節
Less Detail	更少細節
Feature	功能
Collect	收集
Script	劇本
Event	事件
 Would you like to\n\nchallenge Jones?	 你想不想\n\n挑戰瓊斯？
    Would you\n\n   like Jones to:	  你希望瓊斯\n\n   選擇：
Goal Points = 	目標點數 = 
